estproduto,pronome,tn,unimedida,estfilho,pronome,unimedida,fase,estqtduso
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,351503000003,ANEL PADRAO D240                                  ,UN,90,5.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000176,MODULO EXTREMIDADE PENEIRA PARCIAL D 13           ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360602000308,PRESILHA SOLDADA D500                             ,UN,90,4.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000175,MODULO EXTREMIDADE PENEIRA D 13                   ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,UN,90,4.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000174,MODULO INTERMEDIARIO PENEIRA D 13                 ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360605000003,CJ REGULADOR DE FLUXO                             ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,351502000418,TUBO D240 X 6000 X E3.00 - 1045                   ,UN,90,1.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,351503001407,CURVA FUNDIDA D240 30°                            ,UN,90,6.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360605000015,MODULO FUNIL SAIDA D240                           ,UN,90,1.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000159,TUBO C/JANELA D500 X 1170                         ,UN,90,1.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360602000197,BOCAL DE SAIDA D500                               ,UN,90,1.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360605000017,MODULO CAIXA DE SAIDA PARA ENSAQUE IMPUREZA       ,UN,90,1.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,UN,90,2.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360602000095,FECHAMENTO SUP FUNIL DE CARGA D240                ,UN,90,1.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360605000039,ESCADA 800 X H1200 X 45G NPT27                    ,UN,90,1.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,601043300856,CANTONEIRA 4.75 X 50.8 X 6M                       ,UN,90,1.0000
360609000013,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00013 ,120,UN,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,UN,90,2.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360601000161,TUBO C/JANELA D560 X 1180                         ,UN,90,1.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360602000166,FECHAMENTO SUPERIOR FUNIL DE CARGA D320           ,UN,90,1.0000
